,,Model,Make_Year,Driven_Kilometers,Fuel,Transmission,Owner(s),Mileage,Engine,Price,Location
2835,,Ford Figo .P Titanium MT,2016,34000,Petrol,Manual,1,18.16,1196,509999,Chennai
2836,,Maruti Alto LXi BSIII,2009,52922,Petrol,Manual,1,19.7,796,170000,Chennai
2837,,Honda City i VTEC V,2016,43000,Petrol,Manual,1,17.8,1497,725000,Chennai
2838,,Maruti Alto K - VXI,2012,49900,Petrol,Manual,2,20.92,998,229999,Chennai
2839,,Honda WR-V i-VTEC S,2017,40000,Petrol,Manual,1,17.5,1199,725000,Chennai
2840,,Hyundai Verna Xi (Petrol),2007,183254,Petrol,Manual,1,13.9,1599,198000,Chennai
2841,,Honda WR-V i-VTEC VX,2018,23000,Petrol,Manual,1,17.5,1199,875000,Chennai
2842,,Honda Jazz . VX i VTEC,2017,48731,Petrol,Manual,1,18.7,1199,625000,Chennai
2843,,Maruti Swift Dzire VXI .,2018,19000,Petrol,Manual,1,21.21,1197,660000,Chennai
2844,,Ford Figo Titanium Diesel,2020,2282,Diesel,Manual,1,24.4,1499,741000,Chennai
2845,,Maruti Swift LDI Optional,2017,45000,Diesel,Manual,1,25.2,1248,585000,Chennai
2846,,Honda Civic . V MT Inspire,2010,84000,Petrol,Manual,1,15.5,1799,450000,Chennai
2847,,Renault Duster PS Diesel RxL,2015,73000,Diesel,Manual,1,19.01,1461,625000,Chennai
2848,,Toyota Innova . Z Diesel  Seater,2015,114000,Diesel,Manual,1,12.99,2494,1400000,Chennai
2849,,Volkswagen Vento Diesel Highline,2011,80000,Diesel,Manual,1,20.54,1598,390000,Chennai
2850,,Hyundai Creta . CRDi SX,2015,71000,Diesel,Manual,2,19.67,1582,815000,Chennai
2851,,Ford Figo Diesel ZXI,2012,95100,Diesel,Manual,2,20,1399,250000,Chennai
2852,,Hyundai Venue S,2019,6000,Petrol,Manual,1,17.52,1197,835000,Chennai
2853,,Ford Figo Diesel ZXI,2011,74544,Diesel,Manual,1,20,1399,285000,Chennai
2854,,Toyota Yaris G,2018,18008,Petrol,Manual,1,17.1,1496,930000,Chennai
2855,,Mahindra Marazzo M Str,2020,23000,Diesel,Manual,1,17.3,1497,1425000,Chennai
2856,,Chevrolet Beat LT,2011,75528,Petrol,Manual,1,18.6,1199,200000,Chennai
2857,,Maruti Swift Dzire LDi,2010,80364,Diesel,Manual,1,19.3,1248,400000,Chennai
2858,,Nissan Terrano XV Premium  PS,2015,53000,Diesel,Manual,1,19.01,1461,625000,Chennai
2859,,Maruti A Star Lxi,2010,53665,Petrol,Manual,1,19,998,229999,Chennai
2860,,Ford Figo Petrol ZXI,2011,96844,Petrol,Manual,1,15.6,1196,200000,Chennai
2861,,Maruti Baleno Alpha,2018,16000,Petrol,Manual,1,21.01,1197,760000,Chennai
2862,,Maruti Eeco  Seater AC,2012,36000,Petrol,Manual,1,16.11,1196,300000,Chennai
2863,,Maruti Ritz ZDi,2015,114000,Diesel,Manual,1,21.8,1248,425000,Chennai
2864,,Mahindra Quanto C,2012,28450,Diesel,Manual,1,17.21,1493,370000,Chennai
2865,,Mahindra Marazzo M,2020,14000,Diesel,Manual,1,17.3,1497,1425000,Chennai
2866,,Renault Duster PS Diesel RxE,2014,131294,Diesel,Manual,1,20.45,1461,450000,Chennai
2867,,Maruti Swift Dzire VXi,2008,25500,Petrol,Manual,1,17.5,1298,325000,Chennai
2868,,Skoda Octavia L and K . TDI MT,2009,34000,Diesel,Manual,1,16.4,1896,475000,Chennai
2869,,Maruti Swift Dzire ZXI,2012,38000,Petrol,Manual,2,19.1,1197,484999,Chennai
2870,,Hyundai i Sportz,2014,45000,Petrol,Manual,1,20.36,1197,390000,Chennai
2871,,Toyota Etios G,2013,55000,Petrol,Manual,1,16.78,1496,480000,Chennai
2872,,Hyundai i Magna,2011,70728,Petrol,Manual,1,20.36,1197,270000,Chennai
2873,,Hyundai i Asta (o),2009,87521,Petrol,Manual,2,17,1197,300000,Chennai
2874,,Chevrolet Enjoy . TCDi LTZ ,2016,61000,Diesel,Manual,1,18.2,1248,560000,Chennai
2875,,Jeep Compass . Limited Option,2017,69000,Diesel,Manual,1,17.1,1956,1375000,Chennai
2876,,Honda BRV i-VTEC V MT,2016,65000,Petrol,Manual,1,15.4,1497,790000,Chennai
2877,,Hyundai i Magna .L,2015,11000,Petrol,Manual,1,19.81,1086,434999,Chennai
2878,,Maruti Baleno Zeta .,2017,46000,Petrol,Manual,1,21.4,1197,670000,Chennai
2879,,Tata Tiago . Revotron XT,2018,41000,Petrol,Manual,1,23.84,1199,495000,Chennai
2880,,Hyundai EON Magna Plus,2013,48000,Petrol,Manual,1,21.1,814,315000,Chennai
2881,,Maruti Ertiga ZXI,2013,80000,Petrol,Manual,1,19.01,1462,625000,Chennai
2882,,Hyundai i Active . SX,2016,38000,Petrol,Manual,1,17.19,1197,700000,Chennai
2883,,Volkswagen Polo Petrol Trendline .L,2011,37000,Petrol,Manual,1,16.47,1198,425000,Chennai
2884,,Renault KWID RXT,2017,43000,Petrol,Manual,1,22.3,799,390000,Chennai
2885,,Volkswagen Ameo . TDI Highline,2017,72500,Diesel,Manual,1,21.66,1498,630000,Chennai
2886,,Mahindra Marazzo M,2020,14000,Diesel,Manual,1,17.3,1497,1500000,Chennai
2887,,Maruti Alto K - VXI,2011,43000,Petrol,Manual,1,20.92,998,235000,Chennai
2888,,Hyundai EON . Era Plus,2014,39000,Petrol,Manual,2,20.3,998,280000,Chennai
2889,,Ford Figo Diesel Titanium,2011,80000,Diesel,Manual,1,20,1399,315000,Chennai
2890,,Toyota Innova . V Diesel -seater,2009,178000,Diesel,Manual,1,12.8,2494,785000,Chennai
2891,,Ford Fiesta Titanium . TDCi,2013,75000,Diesel,Manual,2,23.5,1498,375000,Chennai
2892,,Maruti Wagon R LXI,2007,65000,Petrol,Manual,2,21.79,998,175000,Chennai
2893,,Datsun redi-GO T Option,2017,20000,Petrol,Manual,1,20.71,799,320000,Chennai
2894,,Hyundai i Magna,2011,81000,Petrol,Manual,2,20.36,1197,275000,Chennai
2895,,Hyundai Creta . CRDi SX,2016,58000,Diesel,Manual,1,19.67,1582,975000,Chennai
2896,,Toyota Etios G,2011,21000,Petrol,Manual,2,16.78,1496,365000,Chennai
2897,,Mahindra XUV W WD,2019,19000,Diesel,Manual,1,16,2179,1650000,Chennai
2898,,Honda City i VTEC SV,2015,43000,Petrol,Manual,1,17.8,1497,685000,Chennai
2899,,Maruti Swift Dzire VDi,2012,60216,Diesel,Manual,1,19.3,1248,450000,Chennai
2900,,Honda Amaze - S i-VTEC,2018,16000,Petrol,Manual,1,17.8,1198,695000,Chennai
2901,,Maruti Swift Ldi BSIII,2010,70000,Diesel,Manual,1,17.8,1248,325000,Chennai
2902,,Renault KWID RXT BSIV,2019,28541,Petrol,Manual,1,25.17,799,450000,Chennai
2903,,Nissan Micra Active XL Petrol,2016,57000,Petrol,Manual,1,19.49,1198,375000,Chennai
2904,,Hyundai EON Era Plus,2013,23000,Petrol,Manual,1,21.1,814,315000,Chennai
2905,,Nissan Micra Diesel XV,2013,43000,Diesel,Manual,1,23.08,1461,375000,Chennai
2906,,Hyundai Grand i Sportz,2015,77693,Petrol,Manual,1,18.9,1197,390000,Chennai
2907,,Ford Endeavour . Trend MT X,2016,34000,Diesel,Manual,1,13.5,2198,2190000,Chennai
2908,,Hyundai i Magna .L,2016,11000,Petrol,Manual,1,19.81,1086,425000,Chennai
2909,,Maruti Alto  LXI Optional,2018,14940,Petrol,Manual,1,24.7,796,335000,Chennai
2910,,Chevrolet Aveo .,2007,118741,Petrol,Manual,1,14.49,1399,150000,Chennai
2911,,Renault Duster Adventure Edition RXZ AWD,2017,23000,Diesel,Manual,2,19.72,1461,875000,Chennai
2912,,Hyundai Verna . CRDi,2016,69000,Diesel,Manual,1,24.8,1396,725000,Chennai
2913,,Hyundai Verna . VTVT SX,2016,20000,Petrol,Manual,1,17.01,1591,795000,Chennai
2914,,Hyundai Grand i Sportz,2019,10000,Petrol,Manual,1,18.9,1197,590000,Chennai
2915,,Toyota Innova . GX (Diesel)  Seater,2014,137000,Diesel,Manual,1,12.99,2494,1150000,Chennai
2916,,Hyundai Grand i Sportz,2014,56000,Petrol,Manual,1,18.9,1197,395000,Chennai
2917,,Ford Endeavour .L X MT,2015,170000,Diesel,Manual,1,13.1,2499,900000,Chennai
2918,,Maruti Estilo LXI,2010,58000,Petrol,Manual,2,19.5,1061,240000,Chennai
2919,,Maruti Swift Dzire ZXI .,2017,16000,Petrol,Manual,1,21.21,1197,675000,Chennai
2920,,Maruti SX S Cross DDiS  Alpha,2016,98000,Diesel,Manual,1,22.7,1598,740000,Chennai
2921,,Datsun RediGO T,2017,46717,Petrol,Manual,1,22.7,799,260000,Chennai
2922,,Maruti Eeco  Seater AC BSIV,2012,111080,Petrol,Manual,1,15.37,1196,250000,Chennai
2923,,Honda Jazz . VX i VTEC,2015,65441,Petrol,Manual,2,18.7,1199,509999,Chennai
2924,,Chevrolet Beat Diesel LS,2015,42000,Diesel,Manual,1,25.44,936,325000,Chennai
2925,,Renault Duster PS Diesel RxZ,2014,38000,Diesel,Manual,1,19.6,1461,685000,Chennai
2926,,Maruti Ertiga VDI,2013,49000,Diesel,Manual,1,20.77,1248,675000,Chennai
2927,,Hyundai i Magna . CRDi (Diesel),2013,70000,Diesel,Manual,2,21.9,1396,370000,Chennai
2928,,Hyundai Grand i CRDi Magna,2015,70000,Diesel,Manual,1,24,1120,430000,Chennai
2929,,Tata Tiago . Revotron XT,2017,58000,Petrol,Manual,1,23.84,1199,430000,Chennai
2930,,Mahindra Scorpio . S Plus,2014,45000,Diesel,Manual,1,15.4,1997,840000,Chennai
2931,,Volkswagen Ameo . MPI Trendline,2016,61813,Petrol,Manual,1,17,1198,459999,Chennai
2932,,Ford EcoSport . Ti VCT MT Trend,2013,53000,Petrol,Manual,1,15.8,1499,475000,Chennai
2933,,Honda City i DTEC SV,2016,68000,Diesel,Manual,1,26,1498,815000,Chennai
2934,,Maruti S-Cross - Sigma DDiS  SH,2019,19000,Diesel,Manual,1,25.1,1248,875000,Chennai
2935,,Hyundai Verna . SX,2013,80000,Diesel,Manual,1,22.32,1582,550000,Chennai
2936,,Hyundai i Magna,2011,35000,Petrol,Manual,1,20.36,1197,325000,Chennai
2937,,Hyundai EON Era Plus,2014,39000,Petrol,Manual,2,21.1,814,279000,Chennai
2938,,Toyota Corolla Altis G,2010,74521,Petrol,Manual,2,14.53,1798,390000,Chennai
2939,,Honda Amaze - S i-VTEC,2017,69386,Petrol,Manual,1,17.8,1198,535000,Chennai
2940,,Skoda Rapid . TDI Ambition Plus,2015,85000,Diesel,Manual,1,21.14,1498,585000,Chennai
2941,,Maruti Eeco  Seater AC,2017,33000,Petrol,Manual,2,16.11,1196,390000,Chennai
2942,,Maruti Celerio ZXI,2014,62451,Petrol,Manual,1,23.1,998,380000,Chennai
2943,,Hyundai EON D Lite Plus,2012,66000,Petrol,Manual,1,21.1,814,280000,Chennai
2944,,Maruti Swift VXI BSIII,2010,32900,Petrol,Manual,1,16.1,1298,330000,Chennai
2945,,Skoda Rapid . TDI Ambition,2015,89999,Diesel,Manual,1,21.14,1498,630000,Chennai
2946,,Hyundai Grand i . Kappa Sportz BSIV,2018,22000,Petrol,Manual,1,18.9,1197,580000,Chennai
2947,,Renault KWID Climber . MT BSIV,2019,28540,Petrol,Manual,1,23.01,999,450000,Chennai
2948,,Tata Indica Vista Terra Quadrajet .L BS IV,2010,102000,Diesel,Manual,1,18,1248,210000,Chennai
2949,,Maruti Ritz VDi,2016,50000,Diesel,Manual,1,23.2,1248,425000,Chennai
2950,,Hyundai i Active . SX,2017,19000,Petrol,Manual,1,17.19,1197,730000,Chennai
2951,,Hyundai i . Sportz,2017,64000,Diesel,Manual,1,22.54,1396,675000,Chennai
2952,,Hyundai EON . Kappa Magna Plus,2017,47000,Petrol,Manual,1,20.3,998,380000,Chennai
2953,,Hyundai i . Sportz,2017,64000,Diesel,Manual,1,22.54,1396,675000,Chennai
2954,,Hyundai i Magna . CRDi,2011,74000,Diesel,Manual,1,21.9,1396,345000,Chennai
2955,,Honda Jazz . S i VTEC,2017,27000,Petrol,Manual,1,18.7,1199,625000,Chennai
2956,,Maruti Eeco  Seater AC BSIV,2012,194000,Petrol,Manual,3,15.37,1196,200000,Chennai
2957,,Mahindra TUV  T,2017,91100,Diesel,Manual,1,18.49,1493,740000,Chennai
2958,,Hyundai i . Sportz,2017,64914,Diesel,Manual,1,22.54,1396,670000,Chennai
2959,,Hyundai i Era .,2009,50000,Petrol,Manual,2,19.81,1086,185000,Chennai
2960,,Tata Hexa XT,2016,79000,Diesel,Manual,1,17.6,2179,1149000,Chennai
2961,,Maruti Alto  LXI,2017,44700,Petrol,Manual,2,22.74,796,300000,Chennai
2962,,Maruti Ciaz Delta BSIV,2018,38000,Petrol,Manual,1,21.56,1462,885000,Chennai
2963,,Hyundai i Magna . CRDi (Diesel),2013,82000,Diesel,Manual,2,21.9,1396,409999,Chennai
2964,,Honda City S,2012,92730,Petrol,Manual,1,16.8,1497,440000,Chennai
2965,,Hyundai Santro Xing GLS,2014,51000,Petrol,Manual,1,17.92,1086,275000,Chennai
2966,,Hyundai EON Era Plus,2017,44100,Petrol,Manual,2,21.1,814,325000,Chennai
2967,, Renault Pulse,2012,68798,Diesel,Manual,2,23.08,1461,203000,NCR
2968,, Tata Tiago,2019,21609,Petrol,Manual,1,23.84,1199,532500,NCR
2969,, Mahindra KUV ,2016,56868,Diesel,Manual,1,25.32,1198,398500,NCR
2970,, Maruti Swift,2015,58562,Diesel,Manual,1,25.2,1248,416000,NCR
2971,, Maruti Swift,2011,102029,Petrol,Manual,2,16.1,1197,249000,NCR
2972,, Honda Brio,2012,99235,Petrol,Manual,1,19.4,1198,246500,NCR
2973,, Maruti Baleno,2016,47156,Petrol,Manual,2,21.4,1197,482500,NCR
2974,, Mahindra TUV ,2016,28313,Diesel,Manual,1,18.49,1493,550500,NCR
2975,, Maruti Swift Dzire,2014,118530,Diesel,Manual,1,26.59,1248,437000,NCR
2976,, Maruti Swift,2014,90169,Diesel,Manual,1,28.4,1248,400500,NCR
2977,, Honda Amaze,2016,13064,Petrol,Manual,1,17.8,1198,483500,NCR
2978,, Hyundai Verna,2014,100421,Petrol,Manual,1,17,1591,448500,NCR
2979,, Honda Amaze,2015,70418,Petrol,Manual,1,18,1198,433500,NCR
2980,,Maruti Swift VDI,2014,119653,Diesel,Manual,1,28.4,1248,335000,NCR
2981,,Maruti Swift Dzire VDI,2014,125739,Diesel,Manual,1,26.59,1248,360000,NCR
2982,,Maruti Swift Dzire VDi,2012,92819,Diesel,Manual,1,19.3,1248,303000,NCR
2983,,Volkswagen Polo Diesel Comfortline .L,2013,100232,Diesel,Manual,1,22.07,1199,242000,NCR
2984,,Volkswagen Polo - GT . TDI,2015,187721,Diesel,Manual,1,21.49,1498,336000,NCR
2985,, Maruti Ciaz,2017,46696,Petrol,Manual,1,20.73,1373,704000,NCR
2986,, Mahindra KUV ,2017,81577,Diesel,Manual,1,25.32,1198,370500,NCR
2987,, Maruti Swift,2014,33229,Diesel,Manual,1,25.2,1248,451500,NCR
2988,, Honda Mobilio,2014,109133,Petrol,Manual,1,17.3,1497,470500,NCR
2989,, Maruti Swift,2013,58167,Diesel,Manual,1,28.4,1248,387000,NCR
2990,, Hyundai Verna,2014,60062,Petrol,Manual,2,17.01,1591,502000,NCR
2991,, Hyundai Verna,2011,93960,Petrol,Manual,1,17.01,1591,447500,NCR
2992,, Ford Figo Aspire,2016,51315,Petrol,Manual,2,18.16,1196,338500,NCR
2993,, Maruti Baleno,2020,15469,Petrol,Manual,1,21.01,1197,631000,NCR
2994,, Maruti S-Presso,2019,8552,Petrol,Manual,1,21.7,998,400000,NCR
2995,, Ford Ecosport,2015,36775,Diesel,Manual,1,23,1498,556000,NCR
2996,, Maruti Eeco,2014,67720,CNG,Manual,2,15.1,1196,227500,NCR
2997,, Hyundai i,2011,41311,Petrol,Manual,1,20.36,1197,266500,NCR
2998,, Maruti Ciaz,2017,40961,Diesel,Manual,2,28.09,1248,565000,NCR
2999,, Hyundai i,2009,80513,Petrol,Manual,1,20.36,1197,197500,NCR
3000,, Honda Brio,2013,36163,Petrol,Manual,2,19.4,1198,258000,NCR
3001,, Ford Ecosport,2013,70149,Diesel,Manual,1,21.7,1498,405000,NCR
3002,, Hyundai Grand i,2014,86933,Diesel,Manual,1,24,1120,309000,NCR
3003,, Hyundai EON,2014,50196,Petrol,Manual,1,21.1,814,210000,NCR
3004,, Renault KWID,2017,51479,Petrol,Manual,1,25.17,799,278500,NCR
3005,, Maruti Swift,2016,59535,Petrol,Manual,1,20.4,1197,465000,NCR
3006,, Ford Ecosport,2015,86059,Diesel,Manual,1,22.7,1498,548000,NCR
3007,, Hyundai i,2010,54685,Petrol,Manual,2,20.36,1197,201500,NCR
3008,, Maruti Baleno,2017,35289,Petrol,Manual,1,21.4,1197,594186,NCR
3009,, Mahindra Thar,2017,41468,Diesel,Manual,1,18.06,2523,787000,NCR
3010,, Maruti SX S Cross,2016,64465,Diesel,Manual,1,22.7,1598,583440,NCR
3011,, Maruti Wagon R Stingray,2016,66067,Petrol,Manual,1,20.51,998,360500,NCR
3012,, Hyundai Grand i,2013,61555,Petrol,Manual,1,18.9,1197,350500,NCR
3013,, Hyundai Verna,2011,87136,Petrol,Manual,2,17.1,1591,353000,NCR
3014,, Maruti Swift,2016,59535,Petrol,Manual,1,20.4,1197,465000,NCR
3015,, Ford Ecosport,2015,86059,Diesel,Manual,1,22.7,1498,548000,NCR
3016,, Hyundai i,2010,54685,Petrol,Manual,2,20.36,1197,201500,NCR
3017,, Maruti Baleno,2017,35289,Petrol,Manual,1,21.4,1197,594186,NCR
3018,, Mahindra Thar,2017,41468,Diesel,Manual,1,18.06,2523,787000,NCR
3019,, Maruti SX S Cross,2016,64465,Diesel,Manual,1,22.7,1598,583440,NCR
3020,, Maruti Wagon R Stingray,2016,66067,Petrol,Manual,1,20.51,998,360500,NCR
3021,, Hyundai Grand i,2013,61555,Petrol,Manual,1,18.9,1197,350500,NCR
3022,, Hyundai Verna,2011,87136,Petrol,Manual,2,17.1,1591,353000,NCR
3023,, Hyundai Verna,2013,72234,Petrol,Manual,1,17.01,1591,495500,NCR
3024,, Maruti Ignis,2017,39386,Petrol,Manual,1,20.89,1197,599000,NCR
3025,, Maruti Swift,2015,89046,Diesel,Manual,1,25.2,1248,430000,NCR
3026,, Maruti Baleno,2018,34377,Petrol,Manual,1,21.01,1197,563870,NCR
3027,, Maruti Swift,2021,1669,Petrol,Manual,1,21.21,1197,629000,NCR
3028,, Maruti Swift,2015,24477,Petrol,Manual,1,21.21,1197,445578,NCR
3029,, Hyundai Xcent,2015,45479,Petrol,Manual,2,19.1,1197,297000,NCR
3030,, Hyundai Verna,2013,72234,Petrol,Manual,1,17.01,1591,495500,NCR
3031,, Maruti Ignis,2017,39386,Petrol,Manual,1,20.89,1197,599000,NCR
3032,, Maruti Swift,2015,89046,Diesel,Manual,1,25.2,1248,430000,NCR
3033,, Maruti Baleno,2018,34377,Petrol,Manual,1,21.01,1197,563870,NCR
3034,, Maruti Swift,2021,1669,Petrol,Manual,1,21.21,1197,629000,NCR
3035,, Maruti Swift,2015,24477,Petrol,Manual,1,21.21,1197,445578,NCR
3036,, Hyundai Xcent,2015,45479,Petrol,Manual,2,19.1,1197,297000,NCR
3037,, Maruti Eeco,2018,20960,CNG,Manual,1,21.94,1196,391000,NCR
3038,, Maruti Swift,2015,67900,Petrol,Manual,1,22,1197,414000,NCR
3039,, Ford Figo,2017,76998,Diesel,Manual,1,25.83,1498,392000,NCR
3040,, Renault KWID,2017,72081,Petrol,Manual,1,23.01,999,266500,NCR
3041,, Chevrolet Beat,2013,119658,Diesel,Manual,1,25.44,936,156000,NCR
3042,, Maruti Swift,2017,77503,Diesel,Manual,1,28.4,1248,491500,NCR
3043,, Maruti Swift,2016,60637,Diesel,Manual,1,25.2,1248,462000,NCR
3044,, Toyota Etios,2018,69880,Diesel,Manual,1,23.59,1364,535500,NCR
3045,, Maruti Wagon R Stingray,2013,55675,Petrol,Manual,1,20.51,998,323000,NCR
3046,, Hyundai Verna,2013,75114,Diesel,Manual,1,22.32,1582,410000,NCR
3047,, Maruti Eeco,2016,58426,CNG,Manual,1,21.94,1196,305000,NCR
3048,, Hyundai EON,2013,46694,Petrol,Manual,1,21.1,814,220500,NCR
3049,, Maruti Ciaz,2017,46273,Diesel,Manual,1,28.09,1248,680500,NCR
3050,, Maruti Swift Dzire,2015,25433,Diesel,Manual,1,26.59,1248,587000,NCR
3051,, Hyundai Xcent,2015,47759,Petrol,Manual,2,19.1,1197,346000,NCR
3052,, Maruti Swift,2014,54942,Petrol,Manual,1,18.6,1197,455500,NCR
3053,, Hyundai Xcent,2016,65409,Petrol,Manual,1,19.1,1197,344500,NCR
3054,, Maruti Baleno,2016,131296,Diesel,Manual,1,27.39,1248,490928,NCR
3055,, Maruti Ciaz,2018,57902,Petrol,Manual,1,20.73,1373,674500,NCR
3056,, Maruti Ignis,2018,5114,Petrol,Manual,1,20.89,1197,503000,NCR
3057,, Hyundai Xcent,2015,109201,Diesel,Manual,1,24.4,1120,364500,NCR
3058,, Maruti Swift Dzire,2014,102690,Petrol,Manual,1,19.1,1197,416500,NCR
3059,, Hyundai i,2018,66220,Petrol,Manual,1,20.35,1197,651000,NCR
3060,, Maruti Baleno,2020,9437,Petrol,Manual,1,21.01,1197,576000,NCR
3061,, Ford Ecosport,2015,43981,Diesel,Manual,1,23,1498,500000,NCR
3062,, Maruti Swift,2019,42268,Diesel,Manual,1,28.4,1248,614000,NCR
3063,, Mahindra TUV ,2015,18044,Diesel,Manual,1,18.49,1493,436500,NCR
3064,, Hyundai EON,2014,43838,Petrol,Manual,1,21.1,814,241000,NCR
3065,, Hyundai i,2011,31996,Petrol,Manual,1,20.36,1197,227000,NCR
3066,, Maruti Eeco,2015,10474,Petrol,Manual,1,15.37,1196,274000,NCR
3067,, Hyundai Verna,2013,69239,Diesel,Manual,1,22.32,1582,414000,NCR
3068,, Maruti Swift Dzire,2017,46403,Diesel,Manual,1,28.4,1248,613000,NCR
3069,, Maruti Eeco,2017,29893,CNG,Manual,1,21.94,1196,348500,NCR
3070,, Hyundai i,2017,36375,Petrol,Manual,1,20.35,1197,562000,NCR
3071,, Ford Figo Aspire,2018,22616,Petrol,Manual,1,18.16,1196,533500,NCR
3072,, Ford Ecosport,2017,59404,Diesel,Manual,1,21.7,1498,609500,NCR
3073,, Hyundai i,2011,36527,Petrol,Manual,1,18.5,1197,244000,NCR
3074,, Hyundai i,2017,18692,Petrol,Manual,1,18.6,1197,616000,NCR
3075,, Maruti Swift Dzire,2014,78327,Diesel,Manual,1,23.4,1248,345000,NCR
3076,, Hyundai i,2013,54952,Petrol,Manual,1,18.5,1197,340357,NCR
3077,, Hyundai i,2018,33322,Petrol,Manual,1,18.6,1197,617000,NCR
3078,, Maruti Swift Dzire,2017,65177,Diesel,Manual,1,26.59,1248,601000,NCR
3079,, Maruti Zen Estilo,2011,17520,Petrol,Manual,1,19,998,245500,NCR
3080,, Hyundai i,2011,69356,Petrol,Manual,2,18.5,1197,300000,NCR
3081,, Hyundai Grand i,2015,51880,Petrol,Manual,1,18.9,1197,423500,NCR
3082,, Maruti Ignis,2018,44458,Petrol,Manual,1,20.89,1197,525500,NCR
3083,, Toyota Etios Liva,2016,45113,Petrol,Manual,1,17.71,1197,480500,NCR
3084,, Hyundai i,2011,48968,Petrol,Manual,1,18.5,1197,233500,NCR
3085,, Maruti Swift,2016,34384,Petrol,Manual,1,22,1197,427000,NCR
3086,, Maruti Swift,2015,72786,Diesel,Manual,1,25.2,1248,369000,NCR
3087,, Renault KWID,2020,8946,Petrol,Manual,1,25.17,799,372000,NCR
3088,, Maruti Swift Dzire,2013,75361,Diesel,Manual,1,23.4,1248,387000,NCR
3089,, Maruti Alto K,2016,32053,Petrol,Manual,1,23.95,998,302208,NCR
3090,, Ford Ecosport,2017,83789,Diesel,Manual,1,23,1498,614000,NCR
3091,, Maruti Swift Dzire,2014,98563,Diesel,Manual,1,26.59,1248,417000,NCR
3092,, Hyundai Verna,2016,60820,Petrol,Manual,1,17.01,1591,637000,NCR
3093,, Maruti Swift,2013,99877,Diesel,Manual,1,22.9,1248,450000,NCR
3094,, Maruti Swift,2015,67565,Petrol,Manual,1,22,1197,490000,NCR
3095,, Maruti Swift,2015,94579,Diesel,Manual,1,25.2,1248,455000,NCR
3096,, Renault KWID,2016,7421,Petrol,Manual,1,25.17,799,294000,NCR
3097,, Maruti Alto K,2011,110442,Petrol,Manual,1,20.92,998,200000,NCR
3098,, Ford Ecosport,2018,30953,Petrol,Manual,1,15.85,1499,743820,NCR
3099,, Hyundai i,2018,10443,Petrol,Manual,1,18.6,1197,603000,NCR
3100,, Hyundai i Active,2015,45311,Petrol,Manual,1,17.19,1197,511500,NCR
3101,, Hyundai i,2016,64390,Diesel,Manual,1,22.54,1396,544500,NCR
3102,, Maruti Swift Dzire,2015,46194,Petrol,Manual,1,20.85,1197,433000,NCR
3103,, Renault KWID,2017,56643,Petrol,Manual,2,23.01,999,242000,NCR
3104,, Renault KWID,2018,25678,Petrol,Manual,1,25.17,799,283000,NCR
3105,, Mahindra XUV,2014,55405,Diesel,Manual,1,16,2179,535500,NCR
3106,, Mahindra Bolero,2018,25420,Diesel,Manual,1,15.96,2523,676508,NCR
3107,, Ford Ecosport,2015,32345,Petrol,Manual,1,17,1497,685000,NCR
3108,, Volkswagen Polo,2017,38145,Petrol,Manual,1,18.78,1198,434000,NCR
3109,, Maruti Swift,2015,52655,Petrol,Manual,1,21.21,1197,453948,NCR
3110,, Hyundai i,2017,47053,Petrol,Manual,1,18.6,1197,472000,NCR
3111,, Hyundai Verna,2013,66997,Diesel,Manual,1,23.5,1396,425000,NCR
3112,, Maruti Baleno,2016,60078,Petrol,Manual,1,21.4,1197,549000,NCR
3113,, Hyundai Verna,2013,83401,Diesel,Manual,1,22.32,1582,427000,NCR
3114,, Maruti Swift,2018,75710,Diesel,Manual,1,25.2,1248,618500,NCR
3115,, Hyundai Grand i,2020,8509,Petrol,Manual,1,18.9,1197,578000,NCR
3116,, Hyundai Grand i,2018,69666,Petrol,Manual,1,18.9,1197,502500,NCR
3117,, Toyota Etios Cross,2015,35717,Petrol,Manual,1,18.16,1197,412855,NCR
3118,, Hyundai Grand i,2017,3942,Petrol,Manual,1,18.9,1197,561500,NCR
3119,, Mahindra XUV,2014,55405,Diesel,Manual,1,16,2179,535500,NCR
3120,, Mahindra Bolero,2018,25420,Diesel,Manual,1,15.96,2523,676508,NCR
3121,, Ford Ecosport,2015,32345,Petrol,Manual,1,17,1497,685000,NCR
3122,, Maruti Swift,2015,52655,Petrol,Manual,1,21.21,1197,453948,NCR
3123,, Hyundai i,2017,47053,Petrol,Manual,1,18.6,1197,472000,NCR
3124,, Hyundai Verna,2013,66997,Diesel,Manual,1,23.5,1396,425000,NCR
3125,, Maruti Baleno,2016,60078,Petrol,Manual,1,21.4,1197,549000,NCR
3126,, Hyundai Verna,2013,83401,Diesel,Manual,1,22.32,1582,427000,NCR
3127,, Maruti Swift,2018,75710,Diesel,Manual,1,25.2,1248,618500,NCR
3128,, Hyundai Grand i,2018,69666,Petrol,Manual,1,18.9,1197,502500,NCR
3129,, Toyota Etios Cross,2015,35717,Petrol,Manual,1,18.16,1197,412855,NCR
3130,, Hyundai Grand i,2017,3942,Petrol,Manual,1,18.9,1197,561500,NCR
3131,, Hyundai Venue,2021,11420,Petrol,Manual,1,18,998,1074500,NCR
3132,, Tata Tiago,2019,63318,Diesel,Manual,1,27.28,1047,489500,NCR
